source,method,metric,fit_ok,a,b,c,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,True,-154.29715363040083,154.81905689047963,-0.00033891092807828723,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,LOGIS,accuracy,True,-131.23124213211952,131.72812991815383,-0.00035818933027888315,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,LOGIS,auc,True,-102.21673848261877,102.74228542243932,-0.0006328321428898606,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,SVM,f1_score,True,-99.03865883134229,99.56775883570965,-0.0005403167378235002,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,SVM,accuracy,True,-126.8417414277844,127.3119759531876,-0.0003205262555575343,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,SVM,auc,True,-0.04656125555687454,5.314456811318797,-0.6809136262234328,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,KNN,f1_score,True,-1.5233406854734552,2.220967197356139,-0.044842665169963686,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,KNN,accuracy,True,-43.64740988663988,44.21150958447388,-0.0013884829767807692,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,KNN,auc,True,-153.97045379654074,154.46246350759571,-0.00037280294844174884,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,RF,f1_score,True,-154.07308826918137,154.52392918831444,-0.00026785948871955843,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,RF,accuracy,True,-168.5885817760716,169.01344451476805,-0.0002128955636201267,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,RF,auc,True,-198.19917435499244,198.6220517099261,-0.00023965228202599536,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,XGB,f1_score,True,-214.7663960426994,215.35438027217293,-0.00031357863026928805,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,XGB,accuracy,True,-207.07631279949757,207.62409130051032,-0.0002831168761468091,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
real,XGB,auc,True,-155.71973522818485,156.2283018855311,-0.0003828876069122804,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
generated,LOGIS,f1_score,True,0.0037564173614695506,5.1352250505072226,-1.0491654873826455,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
generated,LOGIS,accuracy,True,0.0035922284255940403,4.800636993215329,-1.0345480431292373,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
generated,LOGIS,auc,True,0.00034240783517997404,82.9987067042553,-1.9661253739474864,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
generated,SVM,f1_score,True,-0.04771621584888502,1.0904869756554774,-0.3991423316190107,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-50
